epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,26743,0.69095,0.53444,0.82037,0.84984,0.72078,0.80652,0.68233,0.64198,1.40209,0.79295,0.003169,0.003169,0.003169
71,27122.2,0.68932,0.53378,0.81936,0.85344,0.71927,0.80551,0.6821,0.64195,1.40972,0.79305,0.00307,0.00307,0.00307
72,27503.2,0.68273,0.52681,0.81883,0.85067,0.72172,0.80537,0.68224,0.64199,1.40985,0.79319,0.002971,0.002971,0.002971
73,27882.7,0.68371,0.52747,0.81956,0.85028,0.72268,0.80527,0.68223,0.64194,1.40683,0.79325,0.002872,0.002872,0.002872
74,28263.2,0.68097,0.52229,0.81838,0.85055,0.72265,0.80496,0.68212,0.64184,1.41028,0.7933,0.002773,0.002773,0.002773
75,28643.1,0.68044,0.52352,0.8191,0.85026,0.72276,0.80484,0.68174,0.64205,1.4013,0.79343,0.002674,0.002674,0.002674
76,29024,0.67588,0.51573,0.81765,0.85209,0.72141,0.80454,0.68153,0.64271,1.38524,0.79349,0.002575,0.002575,0.002575
77,29405.5,0.6749,0.51549,0.81791,0.84971,0.7226,0.80445,0.68136,0.64286,1.38652,0.79366,0.002476,0.002476,0.002476
78,29785.3,0.67508,0.51202,0.81828,0.8489,0.72213,0.80408,0.68095,0.64293,1.37892,0.79381,0.002377,0.002377,0.002377
79,30165.9,0.66894,0.51044,0.81692,0.84831,0.72287,0.80411,0.68087,0.64384,1.37453,0.79402,0.002278,0.002278,0.002278
80,30546.1,0.66775,0.50888,0.81726,0.84838,0.72238,0.80381,0.68059,0.64492,1.36269,0.79435,0.002179,0.002179,0.002179
81,30925.6,0.66438,0.50516,0.81739,0.8507,0.72098,0.80324,0.68029,0.64576,1.36069,0.79455,0.00208,0.00208,0.00208
82,31304.6,0.66363,0.50146,0.81643,0.85073,0.72051,0.80295,0.68,0.64622,1.35187,0.79471,0.001981,0.001981,0.001981
83,31684.4,0.6632,0.49734,0.81653,0.85093,0.71956,0.80271,0.68007,0.6464,1.34615,0.79481,0.001882,0.001882,0.001882
84,32064.9,0.65704,0.4942,0.81544,0.85255,0.71916,0.80238,0.67969,0.64691,1.33872,0.79496,0.001783,0.001783,0.001783
85,32445.4,0.6527,0.48891,0.81481,0.85158,0.71946,0.80241,0.6795,0.64721,1.32926,0.79515,0.001684,0.001684,0.001684
86,32826.1,0.64969,0.48573,0.81443,0.85038,0.7204,0.80205,0.67945,0.64783,1.32016,0.79531,0.001585,0.001585,0.001585
87,33207.3,0.64999,0.48532,0.81435,0.85163,0.71926,0.80216,0.67944,0.64816,1.32406,0.79549,0.001486,0.001486,0.001486
88,33588.1,0.6453,0.48012,0.81399,0.85148,0.71887,0.80213,0.67933,0.64848,1.32297,0.79557,0.001387,0.001387,0.001387
89,33968.7,0.64308,0.47883,0.81341,0.85362,0.71777,0.80193,0.67941,0.64867,1.31843,0.79576,0.001288,0.001288,0.001288
90,34349.2,0.64095,0.47564,0.81317,0.85364,0.71721,0.80144,0.6791,0.64933,1.31656,0.79596,0.001189,0.001189,0.001189
91,34767.2,0.59137,0.44077,0.81247,0.8604,0.71403,0.80125,0.67882,0.65055,1.319,0.79626,0.00109,0.00109,0.00109
92,35143.7,0.58868,0.43476,0.81208,0.85972,0.71384,0.80098,0.67865,0.65033,1.31471,0.79625,0.000991,0.000991,0.000991
93,35519.7,0.58261,0.42954,0.81209,0.86092,0.71381,0.80041,0.67795,0.65161,1.3087,0.79648,0.000892,0.000892,0.000892
94,35896,0.57946,0.42793,0.81151,0.86085,0.71458,0.79979,0.67731,0.65238,1.30366,0.79675,0.000793,0.000793,0.000793
95,36272.3,0.57716,0.42259,0.81025,0.8614,0.7137,0.79903,0.67691,0.65241,1.29488,0.7969,0.000694,0.000694,0.000694
96,36649.7,0.57376,0.41824,0.81097,0.86231,0.71283,0.79851,0.67668,0.65271,1.28768,0.79707,0.000595,0.000595,0.000595
97,37026.9,0.57109,0.41527,0.80926,0.86056,0.71323,0.79794,0.676,0.65225,1.27915,0.79692,0.000496,0.000496,0.000496
98,37403.8,0.56618,0.40868,0.80974,0.85892,0.7141,0.79744,0.67593,0.65199,1.27068,0.797,0.000397,0.000397,0.000397
99,37782.7,0.56411,0.40665,0.80829,0.85608,0.71424,0.79698,0.67529,0.65247,1.2667,0.79719,0.000298,0.000298,0.000298
100,38162.2,0.56086,0.40393,0.80777,0.85692,0.71266,0.79659,0.67547,0.65296,1.26283,0.79727,0.000199,0.000199,0.000199
